isolate;read_pairs_before_filter;read_pairs_after_filter;alignment_rate_pct
DF1_T1S1 vs E-DF1;5668304;5210141;92,91
DF1_T1S1 vs E-DF3;5668304;5210141;51,91
DF1_T1S2 vs E-DF1;176000;173191;86,8
DF1_T1S2 vs E-DF3;176000;173191;51,2
DF1_T1S3 vs E-DF1;2361612;2148682;89,23
DF1_T1S3 vs E-DF3;2361612;2148682;49,87
DF1_T1S4 vs E-DF1;37977;29392;88,68
DF1_T1S4 vs E-DF3;37977;29392;50,16
DF1_T2S1 vs E-DF1;2993492;2662739;90,99
DF1_T2S1 vs E-DF3;2993492;2662739;50,81
DF1_T2S2 vs E-DF1;966877;881057;89,82
DF1_T2S2 vs E-DF3;966877;881057;50,43
DF1_T2S3 vs E-DF1;2023072;1805704;87,72
DF1_T2S3 vs E-DF3;2023072;1805704;47,97
DF1_T2S4 vs E-DF1;5468151;5372871;88,74
DF1_T2S4 vs E-DF3;5468151;5372871;52,48
DF1_T3S1 vs E-DF1;2433100;2193618;88,2
DF1_T3S1 vs E-DF3;2433100;2193618;49,02
DF1_T3S2 vs E-DF1;4934336;4498400;90,81
DF1_T3S2 vs E-DF3;4934336;4498400;50,8
DF1_T3S3 vs E-DF1;2322948;2112811;90,29
DF1_T3S3 vs E-DF3;2322948;2112811;49,89
DF1_T3S4 vs E-DF1;734239;668144;91,31
DF1_T3S4 vs E-DF3;734239;668144;50,04
DF1_T4S1 vs E-DF1;1068647;965494;89,58
DF1_T4S1 vs E-DF3;1068647;965494;49,93
DF1_T4S2 vs E-DF1;834762;755042;89,26
DF1_T4S2 vs E-DF3;834762;755042;49,3
DF1_T4S3 vs E-DF1;1024715;922156;49,37
DF1_T4S3 vs E-DF3;1024715;922156;88,18
DF1_T4S4 vs E-DF1;713862;639413;88,24
DF1_T4S4 vs E-DF3;713862;639413;48,99
DF1_T5S1 vs E-DF1;1003004;907166;88,84
DF1_T5S1 vs E-DF3;1003004;907166;49,85
DF1_T5S3 vs E-DF1;2926927;2630779;91,15
DF1_T5S3 vs E-DF3;2926927;2630779;50,68
DF1_T5S4 vs E-DF1;812933;745260;92,3
DF1_T5S4 vs E-DF3;812933;745260;51,36
DF1_T6S1 vs E-DF1;3543949;3239157;91,83
DF1_T6S1 vs E-DF3;3543949;3239157;51,2
DF1_T6S4 vs E-DF1;6657116;6121306;93,73
DF1_T6S4 vs E-DF3;6657116;6121306;52,67
DF1_T7S1 vs E-DF1;1571656;1442823;90,52
DF1_T7S1 vs E-DF3;1571656;1442823;50,52
DF1_T7S2 vs E-DF1;1129089;1015205;88,57
DF1_T7S2 vs E-DF3;1129089;1015205;49,67
DF1_T7S3 vs E-DF1;1370331;1248613;90,53
DF1_T7S3 vs E-DF3;1370331;1248613;50,85
DF1_T7S4 vs E-DF1;2657316;2424189;91,19
DF1_T7S4 vs E-DF3;2657316;2424189;51,06
DF1_T8S1 vs E-DF1;1400048;1266709;51,66
DF1_T8S1 vs E-DF3;1400048;1266709;91,68
DF1_T8S2 vs E-DF1;5429634;4923481;52,4
DF1_T8S2 vs E-DF3;5429634;4923481;93,08
DF1_T8S3 vs E-DF1;4470629;4071885;90,25
DF1_T8S3 vs E-DF3;4470629;4071885;50,73
DF1_T8S4 vs E-DF1;3067247;2822097;50,63
DF1_T8S4 vs E-DF3;3067247;2822097;91,49
DF3_T1S1 vs E-DF1;3214085;2935823;91,04
DF3_T1S1 vs E-DF3;3214085;2935823;51,19
DF3_T1S2 vs E-DF1;2793195;2545695;91,74
DF3_T1S2 vs E-DF3;2793195;2545695;51,63
DF3_T1S3 vs E-DF1;3541103;3256753;91,3
DF3_T1S3 vs E-DF3;3541103;3256753;51,51
DF3_T1S4 vs E-DF1;3353022;3098325;92,43
DF3_T1S4 vs E-DF3;3353022;3098325;52,44
DF3_T2S1 vs E-DF1;2140209;1955643;91,56
DF3_T2S1 vs E-DF3;2140209;1955643;51,63
DF3_T2S2 vs E-DF1;3320840;3264271;54,47
DF3_T2S2 vs E-DF3;3320840;3264271;91,2
DF3_T2S3 vs E-DF1;5680895;5570867;88,95
DF3_T2S3 vs E-DF3;5680895;5570867;52,65
DF3_T3S1 vs E-DF1;1891686;1859541;54,18
DF3_T3S1 vs E-DF3;1891686;1859541;89,43
DF3_T3S2 vs E-DF1;7689594;7559400;50,11
DF3_T3S2 vs E-DF3;7689594;7559400;72,18
DF3_T3S3 vs E-DF3;3551121;3489686;74,39
DF3_T3S4 vs E-DF1;2251882;2214940;52,2
DF3_T3S4 vs E-DF3;2251882;2214940;82,47
DF3_T4S1 vs E-DF1;2844058;2796171;84,25
DF3_T4S1 vs E-DF3;2844058;2796171;50,89
DF3_T4S2 vs E-DF1;8486182;8346180;79,51
DF3_T4S2 vs E-DF3;8486182;8346180;49,13
DF3_T4S4 vs E-DF1;7410831;7290754;38,75
DF3_T4S4 vs E-DF3;7410831;7290754;32,79
DF3_T5S1 vs E-DF1;7916766;7761107;89,01
DF3_T5S1 vs E-DF3;7916766;7761107;52,51
DF3_T5S2 vs E-DF1;11534150;11334400;83,94
DF3_T5S2 vs E-DF3;11534150;11334400;50,74
DF3_T5S3 vs E-DF1;9851881;9683494;77,38
DF3_T5S3 vs E-DF3;9851881;9683494;48,46
DF3_T5S4 vs E-DF1;5728403;5612866;83,22
DF3_T5S4 vs E-DF3;5728403;5612866;50,39
DF3_T6S2 vs E-DF1;2873723;2824185;75,77
DF3_T6S2 vs E-DF3;2873723;2824185;47,82
DF3_T6S3 vs E-DF1;5505383;5396917;79,71
DF3_T6S3 vs E-DF3;5505383;5396917;49,07
DF3_T6S4 vs E-DF1;1681634;1652131;87,28
DF3_T6S4 vs E-DF3;1681634;1652131;51,86
DF3_T7S1 vs E-DF1;1833025;1801031;78,04
DF3_T7S1 vs E-DF3;1833025;1801031;48,72
DF3_T7S2 vs E-DF1;3846600;3783369;89,19
DF3_T7S2 vs E-DF3;3846600;3783369;52,61
DF3_T7S3 vs E-DF1;2081487;2042848;87,44
DF3_T7S3 vs E-DF3;2081487;2042848;51,76
DF3_T7S4 vs E-DF1;5018498;4939967;88,9
DF3_T7S4 vs E-DF3;5018498;4939967;52,43
DF3_T8S2 vs E-DF1;9465813;9320000;71,27
DF3_T8S2 vs E-DF3;9465813;9320000;46,16
DF3_T8S4 vs E-DF1;3444870;3386534;80,45
DF3_T8S4 vs E-DF3;3444870;3386534;49,6
DomeFS1_01 vs E-DF1;3784424;3469815;90,31
DomeFS1_01 vs E-DF3;3784424;3469815;51,87
DomeFS1_02 vs E-DF1;1590568;1439300;88,67
DomeFS1_02 vs E-DF3;1590568;1439300;50,71
DomeFS1_03 vs E-DF1;1970812;1789699;88,95
DomeFS1_03 vs E-DF3;1970812;1789699;51,36
DomeFS1_04 vs E-DF1;2850226;2598822;90,59
DomeFS1_04 vs E-DF3;2850226;2598822;51,98
DomeFS1_05 vs E-DF1;13566432;13336163;83,72
DomeFS1_05 vs E-DF3;13566432;13336163;52,2
