isolate;read p bf filter;read_pairs_after_filter;alignment_rate_pct
LGM10.1 vs neutre-22;2632710;2581334;81,22
LGM1.1 vs neutre-22;6642460;6533705;71,52
LGM2.1 vs neutre-22;3697937;3644578;76,94
LGM2.2 vs neutre-22;3711173;3644529;87,12
LGM2.3 vs neutre-22;6571165;6438881;83,68
LGM2.4 vs neutre-22;9337852;9182311;79,14
LGM3.1 vs neutre-22;5102257;5004021;78,19
LGM5.1 vs neutre-22;7526093;7397323;68,24
LGM5.2 vs neutre-22;11131188;10939980;70,84
LGM5.3 vs neutre-22;5999136;5899519;75,23
LGM6.1 vs neutre-22;4085542;4011830;62,22
LGM6.2 vs neutre-22;973171;952629;82,76
LGM7.1 vs neutre-22;2832731;2773195;87,3
LGM7.2 vs neutre-22;1744331;1718175;84,45
LGM8.1 vs neutre-22;3140108;3089516;90,43
LGM8.2 vs neutre-22;7179156;7063570;82,71
LGM8.3 vs neutre-22;9954922;9816276;68,63
LGM8.4 vs neutre-22;6907625;6803431;89,37
LGM9.1 vs neutre-22;5863719;5754638;64,7
LGM9.3 vs neutre-22;3666509;3608688;65,37
;;;
;;Mean overall alignement rate:;77,503
